entity_id,short_text,ambiguous_entity,candidate_link
243468422904688640_multi,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",multi,http://en.wikipedia.org/wiki/Multiplication
243468422904688640_multi,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",multi,http://en.wikipedia.org/wiki/Multiculturalism
243468422904688640_love,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",love,http://en.wikipedia.org/wiki/Love
243468422904688640_love,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",love,http://en.wikipedia.org/wiki/Romance_(love)
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Craft_unionism
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Craft_beer
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Craft
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Robert_Craft
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/The_Craft_(film)
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Arts_and_crafts
243468422904688640_craft,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",craft,http://en.wikipedia.org/wiki/Witchcraft
243468422904688640_tape,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",tape,http://en.wikipedia.org/wiki/Pressure_sensitive_tape
243468422904688640_tape,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",tape,http://en.wikipedia.org/wiki/Videotape
243468422904688640_tape,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",tape,http://en.wikipedia.org/wiki/Tape_music
243468422904688640_tape,"I have discovered washi tape and now I am in love. Multi-colored, multi-patterned masking tape for every #craft thing you can think of.",tape,http://en.wikipedia.org/wiki/Magnetic_tape
